"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1293996737,1,1,1,1,1,2
1293814409,1,1,1,1,1,2
1293996747,1,1,1,1,1,4
1291163527,1,1,1,1,1,1
1295778839,1,1,1,1,1,4
1295673643,1,1,1,1,1,3
1295829199,1,NA,NA,NA,NA,2
1291663301,1,1,1,1,1,1
1293850355,1,1,1,4,4,4
1293996313,1,1,1,1,4,1
1295697973,1,1,1,1,1,1
1293887281,1,1,1,1,NA,1
1291831133,1,1,1,1,1,1
1293850359,1,NA,NA,NA,NA,5
1293962011,1,1,1,1,1,2
1293887275,1,1,1,1,1,2
1293814491,1,1,2,2,2,2
1293996699,1,1,1,1,NA,1
1293814731,1,2,1,1,1,1
1296004697,1,1,1,1,1,2
1293888223,1,1,1,1,1,5
1289723693,1,1,2,2,1,1
1296051499,1,1,1,1,1,3
1295997547,1,1,1,1,1,5
1296084367,1,1,1,1,1,2
1295342899,1,1,1,1,1,3
1293942297,1,1,1,NA,1,2
1293887283,1,NA,NA,NA,1,3
1296127797,1,1,1,1,NA,1
1293814427,1,1,1,1,1,1
1295498851,1,1,1,1,1,1
1296128379,1,1,1,1,1,4
1296121847,1,1,1,1,1,5
1296063129,1,2,1,2,1,1
1296158719,1,1,1,1,1,1
1296163403,1,1,1,1,1,2
1296157963,1,NA,NA,NA,NA,3
1295997549,1,1,1,1,1,3
1294025081,1,1,1,1,1,3
1296196605,1,2,NA,NA,NA,2
1296188567,1,1,1,1,1,3
1296201509,1,1,1,1,1,2
1295342909,1,1,1,1,1,1
1296121841,1,NA,NA,NA,NA,1
1296243345,1,1,1,2,4,1
1295373665,1,1,1,1,1,1
1293812663,1,1,1,1,NA,3
1296188569,1,1,1,1,1,3
1296279935,1,1,1,1,1,3
1296234029,1,1,1,1,1,1
1296246671,1,1,2,1,1,1
1296082017,1,1,1,1,1,4
1289600411,1,1,1,5,5,1
1293814949,1,NA,NA,NA,NA,1
1296280013,1,1,1,1,1,4
1296289565,1,1,1,1,1,1
1296376673,1,1,1,1,1,2
1296365649,1,2,2,2,2,3
1296188643,1,2,1,1,NA,2
1293888033,1,1,1,1,1,2
1296319213,1,1,1,2,1,5
1293996741,1,1,2,3,3,4
1296201515,1,1,1,1,1,3
1296330769,1,1,1,1,1,4
1296444369,1,1,1,1,1,4
1296289573,1,1,1,1,1,3
1296459599,1,1,1,1,1,1
1296330835,1,2,1,1,1,1
1296188651,1,1,NA,NA,NA,1
1293850387,1,1,1,1,1,3
1296457583,1,1,2,2,2,2
1296493851,1,1,1,1,3,2
1296289571,1,1,1,1,NA,3
1296496313,1,1,1,1,2,2
1296535025,1,NA,NA,NA,NA,NA
1296319147,1,1,1,1,1,2
1296037707,1,1,1,1,1,4
1296531345,1,1,1,2,1,3
1291887787,1,1,1,1,1,NA
1296319151,1,1,1,1,1,3
1296537831,1,1,1,1,1,1
1296574565,1,1,1,1,1,2
1296537839,1,1,1,1,1,3
1295342895,1,1,1,1,1,4
1296590645,1,1,1,1,3,4
1296574559,1,1,1,1,1,1
1296537833,1,1,1,1,1,NA
1296246673,1,1,1,1,4,5
1296121867,1,1,1,2,1,1
1296590647,1,1,1,1,1,3
1296457567,1,1,1,2,1,1
1295392467,1,NA,NA,1,1,5
1296621005,1,1,1,1,1,1
1296449801,1,1,1,1,1,3
1296873223,1,1,1,NA,NA,4
1295602765,1,1,1,1,1,1
1296620873,1,1,1,1,1,2
1296449809,1,1,2,2,2,2
1296574537,1,1,1,1,2,1
1296246647,1,1,1,1,1,NA
1297352241,1,1,1,1,1,3
1296409037,1,1,1,1,3,NA
1296142049,1,1,1,1,1,1
1296188645,1,1,1,1,1,1
1293851343,1,1,1,2,2,1
1295673593,1,1,1,1,1,4
1296531333,1,NA,NA,NA,NA,2
1297505081,1,1,1,4,1,4
1297504893,1,1,1,1,1,2
1296279995,1,1,1,1,1,2
1293851349,1,1,1,1,1,1
1297645307,1,1,1,1,1,1
1293235051,1,1,1,1,1,NA
1297719529,1,2,4,4,3,1
1296037721,1,NA,NA,NA,NA,1
1297648231,1,1,1,1,1,2
1297776737,1,1,NA,5,1,3
1297440665,1,1,1,1,1,3
1296378433,1,1,1,1,1,3
1297629025,1,1,1,2,3,2
1296246657,1,1,1,1,4,2
1293997343,1,1,1,1,1,1
1296063121,1,1,1,1,1,2
1296006607,1,1,1,1,1,1
1289849591,1,1,1,1,1,4
1296496305,1,1,1,1,1,1
1298191897,1,1,1,1,1,1
1296246649,1,2,1,1,NA,2
1296489811,1,1,1,1,1,3
1298263559,1,1,1,1,1,4
1298628601,1,1,1,1,1,1
1296590643,1,1,1,1,1,2
1296531343,1,1,1,1,1,3
1296457679,1,1,1,1,1,1
1296537849,1,1,1,1,1,1
1296409015,1,1,1,1,1,1
1293997203,1,1,2,1,1,3
1296537859,1,2,2,2,2,2
1298891523,1,1,1,2,4,1
1298738323,1,1,2,2,2,2
1298926845,1,1,1,1,1,3
1296590541,1,2,2,1,1,3
1298825785,1,1,1,1,1,4
1298926839,1,1,1,4,1,1
1296280001,1,1,1,2,1,3
1299064299,1,1,1,1,1,3
1296620997,1,1,1,1,1,1
1298628815,1,1,1,1,1,1
1299153969,1,1,1,1,1,3
1297380617,1,1,1,2,2,1
1299167423,1,1,1,1,1,1
1286165837,1,1,1,3,3,1
1299315725,1,1,1,1,3,1
1299312885,1,1,1,1,1,1
1297620691,1,1,1,1,1,1
1298797743,1,2,2,2,2,3
1299312857,1,2,2,2,2,3
1299419901,1,1,1,1,3,2
1298891521,1,1,2,1,1,1
1296590639,1,1,1,1,1,3
